resultId,raceId,driverId,constructorId,number,grid,position,positionOrder,points,laps,time,milliseconds,fastestLap,fastestLapTime,statusId
289,1131,825,210,20,11,9,9,0,23,+24.067,0 days 00:27:05.456000,13,00:01:09.942000,1
290,1131,840,117,18,12,10,10,0,23,+30.175,0 days 00:27:11.564000,11,00:01:10.260000,1
291,1131,839,214,31,8,11,11,0,23,+30.839,0 days 00:27:12.228000,9,00:01:10.254000,1
292,1131,842,214,10,9,12,12,0,23,+31.308,0 days 00:27:12.697000,10,00:01:10.168000,1
293,1131,852,215,22,14,13,13,0,23,+35.452,0 days 00:27:16.841000,5,00:01:10.363000,1
294,1131,817,215,3,16,14,14,0,23,+39.397,0 days 00:27:20.786000,5,00:01:10.480000,1
295,1131,4,117,14,13,15,15,0,23,+43.155,0 days 00:27:24.544000,5,00:01:10.393000,1
296,1131,858,3,2,15,16,16,0,23,+44.076,0 days 00:27:25.465000,6,00:01:10.488000,1
297,1131,848,3,23,0,17,17,0,23,+44.673,0 days 00:27:26.062000,8,00:01:10.562000,1
298,1131,822,15,77,18,18,18,0,23,+46.511,0 days 00:27:27.900000,8,00:01:10.590000,1
299,1131,807,210,27,17,19,19,0,23,+48.423,0 days 00:27:29.812000,4,00:01:10.512000,1
300,1131,855,15,24,19,20,20,0,23,+53.143,0 days 00:27:34.532000,6,00:01:10.613000,1
